Country,Suicide rates,Age: 70+ years,Age: 50-69 years,Age: 15-49 years,Age: 5-14 years,Female suicide rate,Male suicide rate
Equatorial Guinea,10,49.07,19.51,5.24,0.5,4.56,15.22
Eritrea,14.48,54.08,33.04,8.45,0.86,7.46,27.9
Estonia,12.32,26.66,22.77,16.15,0.48,3.61,23.53
Eswatini,26.08,44.9,45.75,20.34,0.25,7.35,42.44
Ethiopia,10.36,59.13,21.05,5.21,0.63,4.62,14.52
Europe & Central Asia (WB),12.79,23.12,20.23,15.55,0.63,4.82,21.58
Fiji,9.86,16.3,11.3,9.48,1.28,5.97,13.82
Finland,12.46,16.44,19.76,14.96,0.35,5.85,19.7
France,12.59,31.52,23.27,16.73,0.27,5.61,20.2
Gabon,13.62,57.49,30.73,9.78,0.53,4.28,22.23
Gambia,9.63,45.65,21.6,5.42,0.49,5.76,14.14
Georgia,7.12,18.02,12.18,8.74,0.22,2.26,13.56
Germany,9.59,26.61,17.66,13.91,0.26,4.78,15.34
Ghana,10.33,46.96,22.25,6.77,0.63,1.91,19.6
Greece,3.57,7.33,6.96,4.92,0.09,1.3,5.9
Greenland,57.31,69.66,88.13,65.06,4.08,25.84,75.48
Grenada,4.74,12.83,8.59,5.04,0.14,1.96,7.5
Guam,19.57,23.68,17.55,19.4,1.56,6.98,33.55
Guatemala,5.42,6.7,6.52,5.15,0.41,2.23,9.74
Guinea,11.68,51.47,26.64,6.77,0.93,6.69,16.09
Guinea-Bissau,15.68,56.13,37.19,8.83,0.89,7.1,21.59
Guyana,36.01,60.51,50.87,35.35,1.35,10.29,44.17
Haiti,9.92,22.14,16.18,8.32,0.82,4.31,13.5
Honduras,3.37,12.92,7,2.43,0.1,1.78,7.34
Hungary,14.36,38.46,31.59,20.44,0.31,6.26,24.59
Iceland,9.15,25.23,15.7,11.13,0.21,3.08,16.75
India,13.59,22.62,17.63,13.43,1.03,13.43,18.15
Indonesia,3.03,7.97,3.81,2.93,0.22,1.56,4.76
Iran,5.25,6.52,5.43,5.69,0.31,3.23,7.82
Iraq,5.83,9.51,8.64,5.11,0.13,2.55,5.66
Ireland,8.32,6.68,13.15,9.21,0.23,3.13,13.72
Israel,5.63,13.76,9.43,5.86,0.21,2.13,9.62
Italy,4.93,11.75,9.29,7.04,0.14,2.08,7.88
Jamaica,2.79,5.94,4.7,2.95,0.17,1.11,6.28
Japan,14.72,25.88,25.66,19.82,0.55,8.81,22.63
Jordan,2.44,5.6,3.53,2.07,0.08,1.3,4.88
Kazakhstan,24.16,43.47,34.05,24.8,1.95,7.97,39.87
Kenya,11.12,56.68,24.34,6.18,0.51,4.11,19.58
Kiribati,27.33,24.72,23.66,26.31,2.12,7,48.23
Kuwait,2.69,6.65,3.61,2.98,0.1,0.95,3.69
Kyrgyzstan,9.9,15.43,14.12,9.24,1.67,4.04,16.94
Laos,6.8,11.48,8.7,6.39,0.48,4.22,13.08
Latin America & Caribbean (WB),6.78,11.9,9.33,7.03,0.69,2.61,11.48
Latvia,15.57,27.96,27.84,20.41,0.36,4.53,31.49
Lebanon,3.4,5.71,3.88,3.53,0.15,2.16,7.5
Lesotho,44.74,91.33,93.36,36.42,0.33,22.34,43.31
Liberia,9.27,43.83,19.58,5.39,0.62,11.34,15.22
Libya,4.51,6.05,5.17,4.95,0.17,3.7,12.17
Lithuania,28.14,40.37,50.18,35.86,1.01,7.73,51.69
Luxembourg,8.89,24.84,14.97,11.38,0.21,4.7,13.11
Madagascar,9.98,44.76,20.9,5.66,0.72,5.21,17.38
Malawi,12.24,55.36,27.49,6.67,0.82,4.01,22.8
Malaysia,5.56,18.98,9.77,5.28,0.09,4.03,11.22
Maldives,3.75,11.92,4.33,3.85,0.09,1.4,4.74
Mali,8.15,37.28,17.78,4.34,0.7,3.27,10.3
Malta,4.23,10.2,6.11,5.5,0.14,1.49,7.62
Marshall Islands,22.51,26.76,22.07,21.49,1.64,12,32.94
Mauritania,6.35,33.96,13.17,3.86,0.42,3.1,10.3
Mauritius,8.3,7.55,7.19,9.11,0.62,3.2,13.71
Mexico,5.95,7.32,6.23,6.12,0.94,2.09,10
Middle East & North Africa (WB),4.63,7.79,6.4,4.53,0.23,0,0
Moldova,13.72,15.81,28.72,17.33,0.63,3.69,25.76
Mongolia,17.82,11.66,16.78,18.95,2.81,5.02,26.66
